Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",ATL,@,WSN,W,7.0,2.0,9.0,1-0,1.0,Tied,Luetge,Corbin,None,3.1166666666666667,D,35756.0,.99,1,,10.6,50.0,171.05180647,0.0,,11.2,0.07407407407407407
"Saturday, Apr 1",ATL,@,WSN,W,7.0,1.0,9.0,2-0,1.0,up 0.5,Strider,Gray,None,2.35,D,27529.0,1.08,2,,15.6,72.0,181.05180647,0.0,,20.5,0.14814814814814814
"Sunday, Apr 2",ATL,@,WSN,L,1.0,4.0,9.0,2-1,2.0,0.5,Gore,Shuster,Finnegan,2.283333333333333,D,21440.0,1.09,-1,,10.0,44.0,281.05180647,0.0,,48.2,0.1111111111111111
"Monday, Apr 3",ATL,@,STL,W,8.0,4.0,9.0,3-1,1.0,up 0.5,Morton,Woodford,None,2.7666666666666666,N,37689.0,1.00,1,,15.0,53.0,97.30370855999999,0.0,,13.0,0.037037037037037035
"Tuesday, Apr 4",ATL,@,STL,W,4.0,1.0,9.0,4-1,1.0,up 1.5,Dodd,Matz,Minter,2.3333333333333335,N,36501.0,1.06,2,,19.4,73.0,117.30370855999999,0.0,,7.6,0.07407407407407407
"Wednesday, Apr 5",ATL,@,STL,W,5.0,2.0,9.0,5-1,1.0,up 2.5,Elder,Mikolas,Chavez,2.45,D,36300.0,1.09,3,,23.3,76.0,97.30370855999999,0.0,,16.6,0.1111111111111111
"Thursday, Apr 6",ATL,Home,SDP,W-wo,7.0,6.0,9.0,6-1,1.0,up 3.0,Minter,Crismatt,None,3.2333333333333334,N,42803.0,1.13,4,,22.2,76.0,202.35313,0.0,,0.0,0.1111111111111111
"Friday, Apr 7",ATL,Home,SDP,L,4.0,5.0,9.0,6-2,1.0,up 2.0,Honeywell,Tonkin,Hader,3.0166666666666666,N,41963.0,1.17,-1,,21.7,79.0,202.35313,0.0,,0.0,0.1111111111111111
"Saturday, Apr 8",ATL,Home,SDP,L,1.0,4.0,9.0,6-3,1.0,up 1.0,Wacha,Morton,Hader,2.9166666666666665,N,40154.0,1.14,-2,,12.8,72.0,272.35312999999996,0.0,,20.5,0.1111111111111111
"Sunday, Apr 9",ATL,Home,SDP,L,2.0,10.0,9.0,6-4,1.0,up 1.0,Lugo,Dodd,None,2.8333333333333335,N,40138.0,1.11,-3,,6.7,93.0,242.35313,0.0,,18.4,0.1111111111111111
"Monday, Apr 10",ATL,Home,CIN,W-wo,5.0,4.0,10.0,7-4,1.0,up 1.0,Lee,Law,None,2.783333333333333,N,30237.0,1.07,1,,11.1,52.0,272.35312999999996,0.0,,5.4,0.037037037037037035
"Tuesday, Apr 11",ATL,Home,CIN,W,7.0,6.0,9.0,8-4,1.0,up 2.0,Tonkin,Cessa,Anderson,2.7333333333333334,N,33559.0,1.12,2,,10.0,61.0,202.35313,0.0,,0.0,0.037037037037037035
"Wednesday, Apr 12",ATL,Home,CIN,W,5.0,4.0,9.0,9-4,1.0,up 2.0,Yates,Farmer,Minter,2.533333333333333,N,30648.0,1.12,3,,10.0,68.0,202.35313,0.0,,0.0,0.037037037037037035
"Friday, Apr 14",ATL,@,KCR,W,10.0,3.0,9.0,10-4,1.0,up 2.0,Morton,Singer,None,2.3666666666666667,N,20186.0,1.08,4,,22.2,41.0,123.28981806,0.0,,16.6,0.1111111111111111
"Saturday, Apr 15",ATL,@,KCR,W,9.0,3.0,9.0,11-4,1.0,up 2.0,Elder,Bubic,None,2.8,D,17644.0,1.16,5,,23.3,40.0,213.28981806000002,0.0,,13.0,0.1111111111111111
"Sunday, Apr 16",ATL,@,KCR,W,5.0,4.0,9.0,12-4,1.0,up 2.0,Anderson,Barlow,Minter,2.35,D,22040.0,1.15,6,,6.1,76.0,253.28981806000002,0.0,,20.5,0.1111111111111111
"Monday, Apr 17",ATL,@,SDP,W,2.0,0.0,9.0,13-4,1.0,up 2.0,Fried,Weathers,Minter,2.3666666666666667,N,31846.0,1.21,7,,14.4,78.0,300.2625247,0.0,,9.4,0.1111111111111111
"Tuesday, Apr 18",ATL,@,SDP,W,8.0,1.0,9.0,14-4,1.0,up 3.0,Strider,Snell,None,2.533333333333333,N,42693.0,1.21,8,,15.0,69.0,280.2625247,0.0,,11.2,0.1111111111111111
"Wednesday, Apr 19",ATL,@,SDP,L,0.0,1.0,9.0,14-5,1.0,up 2.0,Martinez,Morton,Hader,2.216666666666667,D,29581.0,1.22,-1,,15.0,72.0,290.2625247,0.0,,11.2,0.1111111111111111
"Friday, Apr 21",ATL,Home,HOU,L,4.0,6.0,9.0,14-6,1.0,up 0.5,Neris,Minter,Pressly,2.8333333333333335,N,41397.0,1.15,-2,,22.2,44.0,352.35312999999996,0.0,,9.4,0.037037037037037035
"Saturday, Apr 22",ATL,Home,HOU,L,3.0,6.0,9.0,14-7,1.0,up 0.5,Valdez,Wright,Abreu,2.3666666666666667,N,42399.0,1.16,-3,,22.2,49.0,2.353129999999993,0.0,,7.6,0.1111111111111111
"Sunday, Apr 23",ATL,Home,HOU,L,2.0,5.0,9.0,14-8,1.0,up 0.5,Neris,Minter,Abreu,2.8666666666666667,D,41530.0,1.11,-4,,13.3,49.0,202.35313,0.0,,0.0,0.037037037037037035
"Monday, Apr 24",ATL,Home,MIA,W,11.0,0.0,9.0,15-8,1.0,up 1.0,Strider,Cabrera,None,2.35,N,28241.0,1.24,1,,15.0,53.0,182.35313,0.0,,5.4,0.1111111111111111
"Tuesday, Apr 25",ATL,Home,MIA,W,7.0,4.0,9.0,16-8,1.0,up 2.0,Morton,Hoeing,None,2.533333333333333,N,34059.0,1.27,2,,9.4,63.0,152.35313,0.0,,5.4,0.037037037037037035
"Wednesday, Apr 26",ATL,Home,MIA,W,6.0,4.0,9.0,17-8,1.0,up 3.0,Tonkin,Floro,Minter,2.466666666666667,N,30282.0,1.29,3,,17.2,54.0,282.35312999999996,0.0,,14.8,0.1111111111111111
"Thursday, Apr 27",ATL,Home,MIA,L,4.0,5.0,9.0,17-9,1.0,up 2.0,Puk,Minter,Floro,2.5666666666666664,D,32196.0,1.31,-1,,13.3,90.0,242.35313,0.0,,13.0,0.1111111111111111
"Friday, Apr 28",ATL,@,NYM,W,4.0,0.0,5.0,18-9,1.0,up 3.0,Fried,Peterson,None,1.3833333333333333,N,29240.0,1.39,1,,11.1,77.0,126.00885818,0.0,,9.4,0.1111111111111111
"Tuesday, May 2",ATL,@,MIA,W,6.0,0.0,9.0,20-10,1.0,up 3.5,Elder,Alcántara,None,2.6666666666666665,N,8626.0,1.32,1,,25.0,69.0,121.86781149999999,0.0,,16.6,0.07407407407407407
"Wednesday, May 3",ATL,@,MIA,W,14.0,6.0,9.0,21-10,1.0,up 5.0,McHugh,Garrett,None,2.6166666666666667,N,10428.0,1.35,2,,25.0,69.0,131.8678115,0.0,,16.6,0.07407407407407407
"Thursday, May 4",ATL,@,MIA,W,6.0,3.0,9.0,22-10,1.0,up 6.0,Dodd,Luzardo,Minter,2.6,D,8295.0,1.32,3,,25.0,66.0,151.8678115,0.0,,11.2,0.07407407407407407
"Friday, May 5",ATL,Home,BAL,L,4.0,9.0,9.0,22-11,1.0,up 5.0,Kremer,Fried,None,2.75,N,40176.0,1.20,-1,,13.9,69.0,202.35313,0.0,,0.0,0.1111111111111111
"Saturday, May 6",ATL,Home,BAL,W,5.0,4.0,9.0,23-11,1.0,up 6.0,Minter,Coulombe,Iglesias,2.8666666666666667,N,41454.0,1.23,1,,15.0,90.0,272.35312999999996,0.0,,7.6,0.1111111111111111
"Sunday, May 7",ATL,Home,BAL,W-wo,3.0,2.0,12.0,24-11,1.0,up 7.0,Tonkin,Pérez,None,3.4833333333333334,D,40800.0,1.14,2,,17.2,87.0,202.35313,0.0,,0.0,0.07407407407407407
"Tuesday, May 9",ATL,Home,BOS,W,9.0,3.0,9.0,25-11,1.0,up 7.5,Morton,Pivetta,None,2.7,N,36805.0,1.16,3,,22.2,91.0,52.35312999999999,0.0,,5.4,0.1111111111111111
"Wednesday, May 10",ATL,Home,BOS,L,2.0,5.0,9.0,25-12,1.0,up 6.5,Bello,Minter,Jansen,2.716666666666667,N,40270.0,1.14,-1,,20.6,93.0,202.35313,0.0,,0.0,0.037037037037037035
"Friday, May 12",ATL,@,TOR,L,0.0,3.0,9.0,25-13,1.0,up 6.0,Bassitt,Strider,None,2.2,N,35047.0,1.16,-2,,20.7,41.0,336.9095893,0.0,,13.3,0.037037037037037035
"Saturday, May 13",ATL,@,TOR,L,2.0,5.0,9.0,25-14,1.0,up 5.0,Swanson,Minter,Romano,2.8333333333333335,D,41341.0,1.18,-3,,21.5,40.0,357.9095893,0.0,,14.4,0.1111111111111111
"Sunday, May 14",ATL,@,TOR,L-wo,5.0,6.0,9.0,25-15,1.0,up 5.0,Pearson,Iglesias,None,3.066666666666667,D,40895.0,1.24,-4,,16.6,34.0,22.909589299999993,0.0,,25.6,0.1111111111111111
"Monday, May 15",ATL,@,TEX,W,12.0,0.0,9.0,26-15,1.0,up 6.0,Morton,Bradford,None,2.5166666666666666,N,26791.0,1.25,1,,22.2,82.0,307.19716629,0.0,,7.6,0.2962962962962963
"Tuesday, May 16",ATL,@,TEX,L,4.0,7.0,9.0,26-16,1.0,up 5.0,Dunning,Shuster,Smith,2.25,N,23246.0,1.20,-1,,23.3,71.0,217.19716628999998,0.0,,16.6,0.1111111111111111
"Wednesday, May 17",ATL,@,TEX,W,6.0,5.0,9.0,27-16,1.0,up 5.0,Anderson,Burke,Iglesias,2.4833333333333334,N,30035.0,1.27,1,,20.0,76.0,7.197166289999998,0.0,,11.2,0.1111111111111111
